,name,artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
0,Hey There Delilah,Plain White T's,0.872,0.656,0.291,0.0,0.114,-10.572,0.0293,0.298
1,Rhythm Of Love,Plain White T's,0.356,0.531,0.542,0.0,0.119,-7.721,0.0432,0.726
2,"1, 2, 3, 4",Plain White T's,0.566,0.458,0.55,1.39e-05,0.108,-7.092,0.0262,0.56
3,Fireflies,Owl City,0.0275,0.512,0.662,0.0,0.118,-6.797,0.0439,0.472
4,The Bird And The Worm,Owl City,0.0249,0.556,0.615,0.0,0.127,-6.794,0.029,0.6
5,Sunday Morning,Maroon 5,0.0913,0.608,0.768,0.0,0.0629,-5.227,0.0475,0.809
6,Must Get Out,Maroon 5,0.053,0.748,0.529,0.0,0.338,-6.641,0.0323,0.317
7,Better That We Break,Maroon 5,0.314,0.52,0.613,0.0,0.13,-3.238,0.0268,0.383
8,It Was Always You,Maroon 5,0.0934,0.613,0.762,1.63e-06,0.0929,-6.614,0.0448,0.324
9,I Won't Give Up,Jason Mraz,0.694,0.585,0.303,0.0,0.115,-10.058,0.0398,0.142
10,I'm Yours,Jason Mraz,0.595,0.686,0.457,0.0,0.105,-8.322,0.0468,0.718
11,Falling Slowly,Glen Hansard,0.679,0.34,0.209,0.000443,0.101,-11.869,0.0279,0.151
12,Beautiful Girls,Sean Kingston,0.15,0.762,0.661,0.0,0.256,-6.075,0.0687,0.769
13,Bad Day,Daniel Powter,0.448,0.599,0.785,0.00336,0.151,-4.013,0.0309,0.52
14,Drops of Jupiter (Tell Me),Train,0.153,0.481,0.638,0.0,0.154,-5.862,0.0276,0.497
15,The Scientist,Coldplay,0.731,0.557,0.442,1.46e-05,0.11,-7.224,0.0243,0.213
16,Yellow,Coldplay,0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,0.285
17,Fix You,Coldplay,0.164,0.209,0.417,0.00196,0.113,-8.74,0.0338,0.124
18,Bright,Echosmith,0.637,0.646,0.431,6.99e-06,0.113,-8.517,0.0262,0.292
19,Mr. Brightside,The Killers,0.00101,0.356,0.924,0.0,0.0953,-3.74,0.0808,0.232
20,Human,The Killers,0.0018,0.557,0.824,0.000542,0.0999,-6.947,0.0776,0.611
