,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
0,Lover Boy,Lover Boy,Phum Viphurit,2018-03-22,236727,71,0.527,0.798,0.556,0.000353,0.0959,-8.597,0.0303,0.627,109.994,4
1,You & Me,Gossip Columns,Marc E. Bassy,2017-10-13,218493,67,0.0413,0.449,0.635,0.0,0.188,-8.301,0.275,0.608,84.414,4
2,Sucker,Sucker,Jonas Brothers,2019-03-01,181040,5,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,0.952,137.958,4
3,Weak,The Click,AJR,2017-06-09,201159,0,0.131,0.669,0.579,0.0,0.19,-6.341,0.0468,0.66,123.979,4
4,Burn the House Down,The Click (Deluxe Edition),AJR,2018-09-21,212689,0,0.0364,0.454,0.66,0.0,0.181,-4.357,0.168,0.568,184.353,4
5,Come Hang Out,The Click (Deluxe Edition),AJR,2018-09-21,266442,0,0.00384,0.612,0.725,0.0,0.0472,-4.668,0.0653,0.386,91.059,4
6,Overture,The Click (Deluxe Edition),AJR,2018-09-21,214406,0,0.132,0.381,0.65,1.19e-06,0.0368,-4.266,0.038,0.312,132.184,4
7,Birthday Party,Birthday Party / 100 Bad Days,AJR,2019-03-12,223947,0,0.0732,0.707,0.462,0.0,0.199,-6.696,0.117,0.547,83.994,4
8,Paradise,Staying at Tamara's,George Ezra,2018-03-23,222044,70,0.209,0.642,0.881,0.0,0.21,-3.537,0.0393,0.913,138.03,4
9,Pretty Shining People,Staying at Tamara's,George Ezra,2018-03-23,212446,65,0.14,0.584,0.726,0.0,0.0984,-4.604,0.0371,0.398,106.979,4
10,How It's Supposed To Be - Kid Froopy Remix,How It's Supposed To Be (Kid Froopy Remix),Mike Posner,2019-03-08,174373,22,0.0146,0.649,0.718,1.31e-05,0.0749,-5.144,0.0338,0.549,100.055,4
11,Loving Is Easy,Loving Is Easy,Rex Orange County,2017-10-11,155720,77,0.217,0.756,0.609,0.00474,0.096,-7.927,0.0544,0.537,117.023,4
12,There's No Way (feat. Julia Michaels),There's No Way (feat. Julia Michaels),Lauv,2018-09-27,174860,3,0.49,0.755,0.625,0.0,0.157,-7.114,0.0896,0.374,147.02,4
13,Heart Is Full - Recorded At Spotify Studios NYC,Spotify Singles,Jon Bellion,2019-04-17,218089,43,0.694,0.6,0.35,0.0,0.115,-8.974,0.0565,0.53,88.08,4
14,Good Things Fall Apart (with Jon Bellion),Good Things Fall Apart (with Jon Bellion),ILLENIUM,2019-05-13,216668,68,0.0128,0.643,0.594,0.0,0.118,-5.453,0.0318,0.442,144.033,4
15,If I Can't Have You,If I Can't Have You,Shawn Mendes,2019-05-03,190800,76,0.524,0.692,0.809,0.0,0.147,-4.198,0.0602,0.864,123.911,4
16,Pretender (feat. Lil Yachty & AJR),Pretender (feat. Lil Yachty & AJR),Steve Aoki,2018-05-18,188737,0,0.0248,0.637,0.778,0.0,0.228,-3.642,0.0706,0.286,103.093,4
17,Sober Up,The Click,AJR,2017-06-09,218763,0,0.282,0.651,0.568,0.0,0.0862,-6.774,0.0275,0.805,93.006,4
18,100 Bad Days,100 Bad Days,AJR,2019-01-30,212783,47,0.0465,0.626,0.639,0.0,0.161,-5.62,0.085,0.638,144.009,4
19,Don't Throw Out My Legos,Neotheater,AJR,2019-04-26,250839,58,0.142,0.629,0.583,0.0,0.118,-6.274,0.0415,0.492,147.036,4
20,Conversations with my Wife - Acoustic,Conversations with my Wife (Acoustic),Jon Bellion,2019-06-07,234937,42,0.89,0.412,0.308,0.0,0.0844,-8.148,0.0365,0.439,124.256,4
21,Blu - Acoustic,Blu (Acoustic),Jon Bellion,2019-06-07,180531,50,0.761,0.424,0.296,4.49e-06,0.262,-9.154,0.0453,0.233,149.954,4
22,Stupid Deep - Acoustic,Stupid Deep (Acoustic),Jon Bellion,2019-05-31,159594,48,0.758,0.248,0.265,0.0,0.091,-7.812,0.0345,0.266,166.838,4
23,Crop Circles,Crop Circles,Jon Bellion,2019-05-31,147684,51,0.077,0.793,0.755,0.000271,0.0868,-4.561,0.0737,0.664,99.912,4
24,Jesus In LA,Jesus In LA,Alec Benjamin,2019-07-16,172606,2,0.537,0.767,0.627,0.0,0.359,-4.096,0.0401,0.689,94.028,4
25,Best Friend,Best Friend,Rex Orange County,2017-01-25,262231,80,0.395,0.575,0.714,0.0,0.115,-5.247,0.0596,0.32,144.982,4
26,Must Have Been The Wind,Must Have Been The Wind,Alec Benjamin,2019-06-13,179299,2,0.784,0.653,0.644,0.000205,0.166,-6.204,0.0572,0.363,88.976,4
27,Tough (feat. Noah Kahan),From Michigan With Love,Quinn XCII,2019-02-15,178133,58,0.39,0.729,0.571,0.0,0.111,-7.047,0.0551,0.687,93.125,4
28,I Don't Care (with Justin Bieber),No.6 Collaborations Project,Ed Sheeran,2019-07-12,219946,76,0.0902,0.798,0.676,0.0,0.0894,-5.041,0.0442,0.843,101.956,4
29,Beautiful People (feat. Khalid),No.6 Collaborations Project,Ed Sheeran,2019-07-12,197866,75,0.124,0.64,0.647,0.0,0.0801,-8.114,0.186,0.546,92.979,4
30,Señorita,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,190799,81,0.0392,0.759,0.548,0.0,0.0828,-6.049,0.029,0.749,116.967,4
31,Karma,Neotheater,AJR,2019-04-26,245269,63,0.0557,0.528,0.727,0.0,0.176,-5.739,0.179,0.212,155.927,4
32,Love Me Less (feat. Quinn XCII),Love Me Less (feat. Quinn XCII),MAX,2019-04-05,177669,70,0.0828,0.732,0.856,0.0,0.323,-2.2,0.0929,0.771,145.034,4
33,Painkiller,Painkiller,Ruel,2019-04-30,213597,63,0.105,0.675,0.414,0.0,0.192,-6.508,0.0569,0.439,128.927,4
34,Thief,Thief,Ansel Elgort,2017-01-27,220680,61,0.0251,0.592,0.741,0.0,0.111,-3.792,0.0842,0.379,180.038,4
35,Summer on You,Summer on You,PRETTYMUCH,2018-06-21,205791,65,0.636,0.811,0.447,0.0,0.462,-6.55,0.0414,0.694,99.995,4
36,Speechless,Speechless,Dan + Shay,2018-05-18,212745,62,0.328,0.631,0.44,0.0,0.239,-5.948,0.028,0.418,136.033,4
37,Are You Bored Yet? (feat. Clairo),Nothing Happens,Wallows,2019-03-22,178000,82,0.156,0.682,0.683,2.32e-05,0.273,-6.444,0.0287,0.64,120.023,4
38,Toy Plane,Toy Plane,Who Boy,2018-06-16,230490,39,0.00691,0.538,0.641,0.959,0.187,-12.431,0.0343,0.0697,130.022,4
39,10/10,10/10,Rex Orange County,2019-09-12,146102,57,0.301,0.487,0.909,2.9e-05,0.0803,-4.091,0.102,0.293,187.783,4
40,Location - Live from Spotify,Spotify Singles,AJR,2017-07-28,178794,53,0.863,0.566,0.261,0.0,0.106,-8.801,0.0375,0.477,97.595,4
41,Normal,The Click (Deluxe Edition),AJR,2018-09-21,185443,44,0.923,0.588,0.337,2.63e-06,0.159,-9.829,0.0321,0.317,95.981,4
42,I Love You 3000 II,Head In The Clouds II,88rising,2019-10-11,209642,67,0.853,0.435,0.338,0.0,0.412,-9.109,0.066,0.354,179.727,4
43,"Wondering - From ""High School Musical: The Musical: The Series""","Wondering (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-11-12,225381,67,0.808,0.469,0.444,0.0,0.0932,-7.064,0.0396,0.221,129.385,4
